analysis_type,category,correlation,p_value,count
overall,raw_pearson,0.13294580156056293,3.092508663191461e-05,976
overall,raw_spearman,0.13479390997417964,2.3894540581523303e-05,976
overall,z_pearson,0.1329458015605629,3.092508663191461e-05,976
overall,expert_z_pearson,0.17280280897745526,5.556012012602523e-08,976
overall,minmax_pearson,0.13294580156056293,3.092508663191461e-05,976
expert,Expert_A,0.25062872935462466,6.147688422549176e-05,250
expert,Expert_K,0.13252310180884308,0.036249449545707434,250
expert,Expert_L,0.14565669993433394,0.039592665354882234,200
expert,Expert_M,0.1524395298828975,0.011217171440251628,276
style,3d rendered,0.22499775048429763,0.022313326117118497,103
style,artistic,0.20245008858810942,0.04338166549738369,100
style,cartoon,0.062227443939197644,0.5203493444232068,109
style,digital art,0.10767183987740638,0.2938317881361395,97
style,geometric,0.11881071939777871,0.2540591954496053,94
style,minimalistic,0.11415541156899724,0.2895872111820704,88
style,realistic,0.12348693543292578,0.25731706721257713,86
style,retro,0.17344898493310862,0.08438527088146171,100
style,storybook,0.05481677858899528,0.5957958039555709,96
style,technical,-0.019388291932515518,0.8458732520609918,103
dataset,asset,0.1329966452977172,0.05203821071095821,214
dataset,onestop,0.11578934765315158,0.09264418665145496,212
dataset,simpa,0.02630449252475115,0.6669802923020364,270
dataset,wikipedia,0.22283125636164972,0.00017033815080872642,280
