sample_id,template_name,clip_score,image_path,prompt_length
asset_164,Basic Object Focus (Refined),0.3585110092163086,..\images\winning_template_samples\by_sample\asset_164\basic_object_focus_(refined).png,534
simpa_289,Basic Object Focus (Refined),0.32682071685791014,..\images\winning_template_samples\by_sample\simpa_289\basic_object_focus_(refined).png,490
onestop_306,Basic Object Focus (Refined),0.4362665557861328,..\images\winning_template_samples\by_sample\onestop_306\basic_object_focus_(refined).png,331
asset_494,Basic Object Focus (Refined),0.273975715637207,..\images\winning_template_samples\by_sample\asset_494\basic_object_focus_(refined).png,603
onestop_064,Basic Object Focus (Refined),0.3673596572875977,..\images\winning_template_samples\by_sample\onestop_064\basic_object_focus_(refined).png,501
simpa_307,Basic Object Focus (Refined),0.29256406784057615,..\images\winning_template_samples\by_sample\simpa_307\basic_object_focus_(refined).png,500
simpa_137,Basic Object Focus (Refined),0.27366233825683595,..\images\winning_template_samples\by_sample\simpa_137\basic_object_focus_(refined).png,405
asset_484,Basic Object Focus (Refined),0.35781112670898435,..\images\winning_template_samples\by_sample\asset_484\basic_object_focus_(refined).png,554
wikipedia_292,Basic Object Focus (Refined),0.42946475982666016,..\images\winning_template_samples\by_sample\wikipedia_292\basic_object_focus_(refined).png,739
onestop_166,Basic Object Focus (Refined),0.3960463333129883,..\images\winning_template_samples\by_sample\onestop_166\basic_object_focus_(refined).png,954
wikipedia_334,Basic Object Focus (Refined),0.3528553009033203,..\images\winning_template_samples\by_sample\wikipedia_334\basic_object_focus_(refined).png,506
onestop_432,Basic Object Focus (Refined),0.3773033905029297,..\images\winning_template_samples\by_sample\onestop_432\basic_object_focus_(refined).png,657
onestop_008,Basic Object Focus (Refined),0.31600194931030273,..\images\winning_template_samples\by_sample\onestop_008\basic_object_focus_(refined).png,450
simpa_068,Basic Object Focus (Refined),0.3513008499145508,..\images\winning_template_samples\by_sample\simpa_068\basic_object_focus_(refined).png,580
wikipedia_328,Basic Object Focus (Refined),0.3124470520019531,..\images\winning_template_samples\by_sample\wikipedia_328\basic_object_focus_(refined).png,524
wikipedia_114,Basic Object Focus (Refined),0.3454429626464844,..\images\winning_template_samples\by_sample\wikipedia_114\basic_object_focus_(refined).png,410
asset_345,Basic Object Focus (Refined),0.3319681167602539,..\images\winning_template_samples\by_sample\asset_345\basic_object_focus_(refined).png,605
wikipedia_365,Basic Object Focus (Refined),0.34363082885742186,..\images\winning_template_samples\by_sample\wikipedia_365\basic_object_focus_(refined).png,463
asset_284,Basic Object Focus (Refined),0.34083995819091795,..\images\winning_template_samples\by_sample\asset_284\basic_object_focus_(refined).png,591
